BLEU,CHRF,CHRF++,TER,BERT-P,BERT-R,BERT-F1,METEOR,CHRF<10,COMET,model
32.64778934768884,32.472537011817195,29.28011110545189,48.8785769528229,0.8166472911834717,0.801327109336853,0.8081658482551575,0.3641152726597163,37,0.8104006445511079,/mnt/data/users/liamding/data/MTI/evaluations/deepseek-v3/anytrans/en2zh_total.csv
49.41524019899075,46.162861056518885,42.1798243999713,37.250427837992014,0.8353423476219177,0.8286275863647461,0.8313549160957336,0.5316751101635878,36,0.8127829287006957,/mnt/data/users/liamding/data/MTI/evaluations/deepseek-v3/anytrans/ja2zh_total.csv
31.702775553800876,32.390879589677354,28.43415739503332,59.77011494252874,0.7746760249137878,0.7537293434143066,0.7630272507667542,0.3536930120656263,54,0.7393540808436821,/mnt/data/users/liamding/data/MTI/evaluations/deepseek-v3/anytrans/ko2zh_total.csv
18.777517953089067,49.72845199239856,45.14747503382613,60.60606060606061,0.9131962656974792,0.9123217463493348,0.9123797416687012,0.4703759509161981,21,0.7959000006396109,/mnt/data/users/liamding/data/MTI/evaluations/deepseek-v3/anytrans/zh2en_total.csv
25.701701302153182,31.529246657981485,27.274297649174702,48.912097476066144,0.875352680683136,0.8692158460617065,0.8718793392181396,0.4667608529000487,38,0.8763507774472237,/mnt/data/users/liamding/data/MTI/evaluations/deepseek-v3/anytrans/zh2ja_total.csv
16.583888194994763,29.977147846784263,27.623495644011392,91.31455399061032,0.8493672013282776,0.8513022661209106,0.8501617312431335,0.3313350285426255,45,0.8001941700192059,/mnt/data/users/liamding/data/MTI/evaluations/deepseek-v3/anytrans/zh2ko_total.csv
17.21358224243623,36.555834476969885,32.78627185864221,113.79310344827589,0.7639599442481995,0.7795505523681641,0.7705421447753906,0.2779693192989716,22,0.6233654588460922,/mnt/data/users/liamding/data/MTI/evaluations/deepseek-v3/mit10m/de/de2ar_total.csv
12.805112777110184,45.25943122582832,41.63241357837818,137.14902807775377,0.8674833178520203,0.8985388278961182,0.8816330432891846,0.4208991523385443,15,0.7046315562725067,/mnt/data/users/liamding/data/MTI/evaluations/deepseek-v3/mit10m/de/de2en_total.csv
19.40463918214536,49.83662911162485,45.46298362331138,89.81288981288982,0.7978988885879517,0.8211081624031067,0.8078801035881042,0.3681410803717177,15,0.678803536593914,/mnt/data/users/liamding/data/MTI/evaluations/deepseek-v3/mit10m/de/de2es_total.csv
14.152958261844788,45.60088006677813,41.40452647960842,123.09278350515464,0.7866578102111816,0.8096923232078552,0.7964500188827515,0.356527726192638,15,0.6478415855765343,/mnt/data/users/liamding/data/MTI/evaluations/deepseek-v3/mit10m/de/de2fr_total.csv
12.470678127551896,30.654919542602205,28.88559237128357,104.89236790606653,0.7602974772453308,0.7800473570823669,0.7688154578208923,0.1036104311571024,29,0.528575182557106,/mnt/data/users/liamding/data/MTI/evaluations/deepseek-v3/mit10m/de/de2hi_total.csv
18.54506237655483,45.79152010347397,41.952849992199496,94.76987447698744,0.791697084903717,0.8108038902282715,0.799694299697876,0.3294316860712073,16,0.6676166090369224,/mnt/data/users/liamding/data/MTI/evaluations/deepseek-v3/mit10m/de/de2it_total.csv
